n_enroll,m_probe,eer_mean,eer_std
1,1,0.09272727272727273,0.037328118486632374
1,3,0.055454545454545444,0.043990043952491675
1,5,0.035909090909090904,0.017860802458535
1,10,0.04999999999999998,0.016262312563634845
3,1,0.06954545454545455,0.02215646837627991
3,3,0.02909090909090909,0.029576906336358986
3,5,0.02136363636363637,0.0404928317296729
3,10,0.010909090909090905,0.01762792675424119
5,1,0.06,0.025737068485258318
5,3,0.020909090909090898,0.022425266151898188
5,5,0.011363636363636362,0.01176561736867707
5,10,0.008636363636363633,0.015102952478032854
10,1,0.06,0.0311488030891124
10,3,0.01681818181818181,0.01915573409609588
10,5,0.00636363636363636,0.010503836371173941
10,10,0.0009090909090909091,0.0018181818181818182
