n_enroll,m_probe,eer_mean,eer_std
1,1,0.08227272727272728,0.015034395825946588
1,3,0.04318181818181817,0.013407164730684196
1,5,0.0318181818181818,0.01700753357624518
1,10,0.03136363636363636,0.017212814753419525
3,1,0.05590909090909091,0.03463505127554317
3,3,0.01954545454545454,0.020610516452281142
3,5,0.01818181818181817,0.017895472440935926
3,10,0.0013636363636363635,0.0027272727272727275
5,1,0.05954545454545455,0.020899207150132108
5,3,0.007727272727272723,0.01434521258005408
5,5,0.01681818181818181,0.020610516452281145
5,10,0.0,0.0
10,1,0.03999999999999999,0.01604487508611162
10,3,0.0022727272727272726,0.0028747978728803445
10,5,0.0022727272727272726,0.002874797872880345
10,10,0.0013636363636363635,0.001818181818181818
