variant,sf_eer_mean,sf_eer_std,mf_eer_mean,mf_eer_std,n_seeds_sf,n_seeds_mf
standard,0.027272727272727275,0.05454545454545455,0.020454545454545454,0.025308019831045553,5,5
arcface_m03,0.05454545454545455,0.053008653589502734,0.009545454545454543,0.012481391107041795,5,5
arcface_m04,0.05454545454545454,0.0668042657122685,0.011363636363636362,0.01176561736867707,5,5
arcface_m05,0.00909090909090909,0.01818181818181818,0.01681818181818181,0.020610516452281145,5,5
arcface_s64,0.0,0.0,0.016363636363636355,0.018033485840797604,5,5
cosface,0.05454545454545455,0.04453617714151234,0.0036363636363636364,0.0036927447293799817,5,5
subcenter,0.0,0.0,0.012272727272727268,0.02030755263971697,5,5
hybrid,0.0,0.0,0.009090909090909085,0.014083575804390598,5,5
