variant,sf_eer_mean,sf_eer_std,mf_eer_mean,mf_eer_std,n_seeds_sf,n_seeds_mf
standard,0.04545454545454547,0.0,0.038636363636363635,0.039795448055655984,10,10
arcface_m03,0.06818181818181819,0.0419070202604222,0.017727272727272723,0.02447380113813055,10,10
arcface_m04,0.04545454545454547,0.0,0.013181818181818173,0.014185896849388386,10,10
arcface_m05,0.04545454545454547,0.0,0.022954545454545443,0.019376916060948848,10,10
arcface_s64,0.050000000000000024,0.013636363636363637,0.017499999999999998,0.03194859636850038,10,10
cosface,0.054545454545454564,0.027272727272727275,0.01931818181818181,0.028336270306376476,10,10
subcenter,0.06363636363636364,0.03636363636363636,0.02022727272727272,0.021714954667195294,10,10
hybrid,0.04545454545454547,0.0,0.017499999999999995,0.016104321580051692,10,10
