n_enroll,m_probe,eer_mean,eer_std
1,1,0.1190909090909091,0.07182825015731038
1,3,0.10318181818181818,0.04626772610944743
1,5,0.06795454545454546,0.04353266561108579
1,10,0.06818181818181819,0.035733170921879186
3,1,0.08931818181818182,0.044467115716732626
3,3,0.055454545454545444,0.017610336934373208
3,5,0.01522727272727272,0.01885268027944589
3,10,0.03431818181818182,0.03646930669177182
5,1,0.0715909090909091,0.02559720574884612
5,3,0.025681818181818174,0.018770305809050872
5,5,0.013181818181818173,0.014185896849388386
5,10,0.014545454545454539,0.016395171633519477
10,1,0.06613636363636363,0.03159744863641018
10,3,0.02022727272727272,0.016776668667236875
10,5,0.014772727272727274,0.02486014600729715
10,10,0.004999999999999999,0.009631645500189582
