n_enroll,m_probe,eer_mean,eer_std
1,1,0.1375,0.04758908566446897
1,3,0.08750000000000001,0.021662560534840284
1,5,0.08318181818181818,0.02804217602761306
1,10,0.08181818181818182,0.04823324870866295
3,1,0.08295454545454545,0.044678026288745704
3,3,0.045227272727272706,0.020109462843839684
3,5,0.020454545454545447,0.01896059419510382
3,10,0.03068181818181817,0.027201611826331417
5,1,0.07045454545454545,0.03154100047151013
5,3,0.02954545454545453,0.0205049883066181
5,5,0.022954545454545443,0.019376916060948848
5,10,0.01204545454545454,0.016547265135697625
10,1,0.06659090909090909,0.0200734704243196
10,3,0.02772727272727271,0.018873217720024257
10,5,0.007272727272727271,0.010698729359945286
10,10,0.010454545454545449,0.013529887332852005
