config,alignment,loss,repr_mode,eer_mean,eer_std,auc_mean,auc_std,dprime_mean,dprime_std,tar_at_far1_mean,rank1,latency_probe_s_mean
A0_softmax,A0,softmax,raw_ply,0.1206060606060606,0.03343785266456658,0.9547291092745638,0.0332193280963228,1.8508514499625661,0.2667709051819509,0.509090909090909,0.7575757575757576,0.009179999999999999
A0_arcface,A0,arcface,raw_ply,0.15545454545454546,0.037940555699126154,0.9337006427915518,0.021861239448171952,1.829026071323269,0.22391112145492328,0.4727272727272728,0.8181818181818182,0.00922
A1_softmax,A1,softmax,align_center,0.03757575757575756,0.022420147046174434,0.9955188246097337,0.0018128870786780962,3.3400331545480393,0.1057409000849672,0.9333333333333333,0.9696969696969697,0.009240000000000002
A1_arcface,A1,arcface,align_center,0.00636363636363636,0.00921132372943676,0.9997612488521579,0.000229384683136741,6.5883913798214575,0.23161421213951944,0.9878787878787879,1.0,0.009659999999999998
A2_softmax,A2,softmax,align_centerscale,0.0,0.0,1.0,0.0,4.209531849365808,0.11641683412719346,1.0,1.0,0.009339999999999998
A2_arcface,A2,arcface,align_centerscale,0.0,0.0,1.0,0.0,9.490361771624746,1.0968129850653299,1.0,1.0,0.009240000000000002
A3_softmax,A3,softmax,canonical_npy,0.00030303030303030303,0.0006060606060606061,0.999981634527089,3.673094582188341e-05,4.118337091937714,0.07698452974666631,1.0,1.0,0.00926
A3_arcface,A3,arcface,canonical_npy,0.0,0.0,1.0,0.0,8.914572524979151,0.5236407671761282,1.0,1.0,0.00926
A4_softmax,A4,softmax,align_pca_robust,0.013030303030303026,0.014168084518255703,0.998989898989899,0.001376798149788137,4.067855386205833,0.6906703267239809,0.9696969696969697,1.0,0.00928
A4_arcface,A4,arcface,align_pca_robust,0.0054545454545454515,0.008656276883082237,0.9997979797979799,0.00022790952517885932,7.881436479776871,0.8257729226016116,0.9939393939393939,0.9696969696969697,0.009319999999999998
A5_softmax,A5,softmax,align_anatomical,0.0012121212121212121,0.0024242424242424242,0.9998163452708908,0.0003673094582185232,3.8960316649623565,0.2874250042107267,0.9878787878787879,1.0,0.00928
A5_arcface,A5,arcface,align_anatomical,0.004545454545454543,0.005420770854544939,0.9980165289256199,0.0037379941410461636,8.196923326809614,1.3858760299939572,0.9939393939393939,1.0,0.00928
