config,N,M,eer_mean,eer_std
A0_softmax,1,1,0.17121212121212123,0.03474953012478702
A0_softmax,1,3,0.16242424242424242,0.05066499924761009
A0_softmax,1,5,0.1590909090909091,0.04583677673015524
A0_softmax,1,10,0.16575757575757574,0.029915706492568337
A0_softmax,3,1,0.1293939393939394,0.042914911435395095
A0_softmax,3,3,0.1281818181818182,0.049055355625240604
A0_softmax,3,5,0.11484848484848484,0.03736500034375358
A0_softmax,3,10,0.10545454545454544,0.03880208073335542
A0_softmax,5,1,0.14030303030303032,0.05257903229693287
A0_softmax,5,3,0.1384848484848485,0.05288378026272359
A0_softmax,5,5,0.1206060606060606,0.03343785266456658
A0_softmax,5,10,0.1093939393939394,0.03362680726928744
A0_softmax,10,1,0.12303030303030302,0.03866932640230125
A0_softmax,10,3,0.13333333333333336,0.04717939504491773
A0_softmax,10,5,0.12757575757575756,0.04357107910991613
A0_softmax,10,10,0.11181818181818179,0.0581739262324334
A0_arcface,1,1,0.22181818181818178,0.04223551093379107
A0_arcface,1,3,0.20272727272727273,0.05050161604484055
A0_arcface,1,5,0.18393939393939396,0.043793907522487116
A0_arcface,1,10,0.19060606060606058,0.046635172371419724
A0_arcface,3,1,0.1918181818181818,0.015646461385970426
A0_arcface,3,3,0.1515151515151515,0.032226813263382816
A0_arcface,3,5,0.15999999999999998,0.033928569702493104
A0_arcface,3,10,0.15545454545454546,0.02479669399451972
A0_arcface,5,1,0.18060606060606058,0.01950724477506798
A0_arcface,5,3,0.1524242424242424,0.0368353246036915
A0_arcface,5,5,0.15545454545454546,0.037940555699126154
A0_arcface,5,10,0.15878787878787876,0.04251505432071657
A0_arcface,10,1,0.1924242424242424,0.031021779132290254
A0_arcface,10,3,0.15424242424242424,0.045062959731482895
A0_arcface,10,5,0.15999999999999998,0.04402395207486686
A0_arcface,10,10,0.1384848484848485,0.011362626217728888
A1_softmax,1,1,0.05575757575757574,0.016188739865688577
A1_softmax,1,3,0.022121212121212108,0.0061806297134458
A1_softmax,1,5,0.04909090909090906,0.022688856421011976
A1_softmax,1,10,0.027878787878787864,0.019131750445654048
A1_softmax,3,1,0.05575757575757573,0.012211782836127205
A1_softmax,3,3,0.02454545454545453,0.006666666666666666
A1_softmax,3,5,0.04363636363636362,0.022745447278539634
A1_softmax,3,10,0.03363636363636362,0.019318033273344505
A1_softmax,5,1,0.05606060606060603,0.007725787141807248
A1_softmax,5,3,0.028181818181818162,0.008656276883082242
A1_softmax,5,5,0.03757575757575756,0.022420147046174434
A1_softmax,5,10,0.02030303030303029,0.00770197880432656
A1_softmax,10,1,0.06212121212121211,0.01456438162508838
A1_softmax,10,3,0.023939393939393927,0.0038806813560199093
A1_softmax,10,5,0.041212121212121186,0.021003301152925393
A1_softmax,10,10,0.01787878787878787,0.009457264566258923
A1_arcface,1,1,0.032121212121212106,0.030580547421922084
A1_arcface,1,3,0.00818181818181818,0.01486393753749178
A1_arcface,1,5,0.011212121212121206,0.012625858579393726
A1_arcface,1,10,0.006666666666666664,0.011117537168390383
