config,alignment,loss,repr_mode,eer_mean,eer_std,auc_mean,auc_std,dprime_mean,dprime_std,tar_at_far1_mean,rank1,latency_probe_s_mean
A0_softmax,A0,softmax,raw_ply,0.11848484848484848,0.031657603458716044,0.9597428833792471,0.030438553839068162,1.8878409925257025,0.24993669638000848,0.5151515151515151,0.9090909090909091,0.00926
A0_arcface,A0,arcface,raw_ply,0.17636363636363636,0.024404759505091987,0.9275482093663913,0.02919769429903898,1.7961703970408238,0.2428682384315006,0.4666666666666666,0.8484848484848485,0.009179999999999999
A1_softmax,A1,softmax,align_center,0.04575757575757573,0.020893714152652353,0.9932047750229568,0.0031581138201949026,3.284329127959544,0.13111619363086538,0.9212121212121211,0.9696969696969697,0.009359999999999999
A1_arcface,A1,arcface,align_center,0.014545454545454539,0.01191491106141666,0.9996510560146923,0.000292697473838577,6.625500651896671,0.42978944228761323,0.9818181818181818,1.0,0.009739999999999999
A2_softmax,A2,softmax,align_centerscale,0.0006060606060606061,0.0012121212121212121,0.9999265381083562,0.0001469237832874448,4.201384903684408,0.08081915139388657,1.0,1.0,0.00938
A2_arcface,A2,arcface,align_centerscale,0.0,0.0,1.0,0.0,9.485893797848515,1.086934747010099,1.0,1.0,0.00942
A3_softmax,A3,softmax,canonical_npy,0.00030303030303030303,0.0006060606060606061,0.9999449035812672,0.00011019283746556141,4.08763845325592,0.09896637808380873,1.0,1.0,0.009379999999999998
A3_arcface,A3,arcface,canonical_npy,0.0,0.0,1.0,0.0,8.870373200984465,0.4929743994694922,1.0,1.0,0.00936
A4_softmax,A4,softmax,align_pca_robust,0.01333333333333333,0.013291946787552304,0.9988613406795224,0.0015943092315306286,4.0159412053339105,0.6515905130495941,0.9636363636363636,1.0,0.009319999999999998
A4_arcface,A4,arcface,align_pca_robust,0.005151515151515148,0.008813963377120591,0.9997796143250689,0.00026991622510007864,8.019907660010277,0.942163071155662,0.9939393939393939,0.9696969696969697,0.00932
A5_softmax,A5,softmax,align_anatomical,0.004848484848484846,0.008958633635814834,0.9997796143250689,0.0003964560724503727,3.9255289231516137,0.33725657499901035,0.9939393939393939,1.0,0.0093
A5_arcface,A5,arcface,align_anatomical,0.005757575757575755,0.005283513870958387,0.9981634527089073,0.0032631678001277197,8.114549881288035,1.4670961845842758,0.9818181818181818,1.0,0.00934
