config,N,M,eer_mean,eer_std
A0_softmax,1,1,0.16575757575757574,0.04004818034956512
A0_softmax,1,3,0.1618181818181818,0.04193878086782593
A0_softmax,1,5,0.15666666666666668,0.05701964283842445
A0_softmax,1,10,0.14636363636363636,0.04110056201984478
A0_softmax,3,1,0.12787878787878787,0.03230649819352148
A0_softmax,3,3,0.12333333333333332,0.041743455412660765
A0_softmax,3,5,0.12,0.05449829611240327
A0_softmax,3,10,0.11393939393939392,0.05184741333926363
A0_softmax,5,1,0.1336363636363636,0.03286726512231816
A0_softmax,5,3,0.13303030303030305,0.04864934217470182
A0_softmax,5,5,0.10818181818181818,0.0403679131413378
A0_softmax,5,10,0.11515151515151516,0.03162277660168377
A0_softmax,10,1,0.13939393939393938,0.02942672336075202
A0_softmax,10,3,0.13212121212121214,0.04312622684271862
A0_softmax,10,5,0.10636363636363637,0.030565529718604253
A0_softmax,10,10,0.10575757575757574,0.0288659229190542
A0_arcface,1,1,0.1972727272727273,0.03664537323110541
A0_arcface,1,3,0.17515151515151514,0.036710467202200746
A0_arcface,1,5,0.1812121212121212,0.023109910260530456
A0_arcface,1,10,0.1687878787878788,0.042311538607774694
A0_arcface,3,1,0.1890909090909091,0.022048448198280314
A0_arcface,3,3,0.17666666666666667,0.03505996437431697
A0_arcface,3,5,0.16606060606060602,0.020409040291494224
A0_arcface,3,10,0.1712121212121212,0.03109569341179468
A0_arcface,5,1,0.16636363636363638,0.03121947545015645
A0_arcface,5,3,0.16848484848484846,0.031570464280336975
A0_arcface,5,5,0.1672727272727273,0.03837373604430722
A0_arcface,5,10,0.16666666666666666,0.02335496832484569
A0_arcface,10,1,0.17030303030303032,0.026306102320255414
A0_arcface,10,3,0.1715151515151515,0.028319961193832916
A0_arcface,10,5,0.1590909090909091,0.022493749769570453
A0_arcface,10,10,0.15121212121212121,0.038478882859030256
A1_softmax,1,1,0.04515151515151513,0.017391933154280895
A1_softmax,1,3,0.03272727272727271,0.014833016061236865
A1_softmax,1,5,0.04666666666666665,0.016160353486028338
A1_softmax,1,10,0.02999999999999998,0.017963333739732027
A1_softmax,3,1,0.0415151515151515,0.020296244908654965
A1_softmax,3,3,0.02515151515151514,0.009893834980190606
A1_softmax,3,5,0.0318181818181818,0.01391961706406769
A1_softmax,3,10,0.026969696969696956,0.004110503020075918
A1_softmax,5,1,0.03848484848484847,0.018422647458873526
A1_softmax,5,3,0.028484848484848467,0.006239775843022424
A1_softmax,5,5,0.02484848484848483,0.004848484848484848
A1_softmax,5,10,0.02030303030303029,0.0073979124943840575
A1_softmax,10,1,0.038181818181818164,0.012098463501622497
A1_softmax,10,3,0.027878787878787864,0.004655239847193094
A1_softmax,10,5,0.026666666666666655,0.0058759755847470636
A1_softmax,10,10,0.025757575757575746,0.0056691778587483945
A1_arcface,1,1,0.010303030303030298,0.012286748444068652
A1_arcface,1,3,0.0036363636363636333,0.00587597558474706
A1_arcface,1,5,0.01818181818181817,0.014937887931959071
A1_arcface,1,10,0.005151515151515148,0.008865902326259263
A1_arcface,3,1,0.021515151515151505,0.010471001541315748
A1_arcface,3,3,0.008181818181818179,0.014135640957200721
A1_arcface,3,5,0.017575757575757568,0.013840226965659674
A1_arcface,3,10,0.005454545454545452,0.008813963377120593
A1_arcface,5,1,0.01818181818181817,0.012820724728064342
A1_arcface,5,3,0.007272727272727269,0.013083050390862359
A1_arcface,5,5,0.017878787878787872,0.014671173862921452
A1_arcface,5,10,0.0012121212121212121,0.001766955119650091
A1_arcface,10,1,0.018787878787878777,0.012106051124507976
A1_arcface,10,3,0.007878787878787876,0.014290698330365566
A1_arcface,10,5,0.017272727272727266,0.014135640957200721
A1_arcface,10,10,0.0012121212121212121,0.001766955119650091
A2_softmax,1,1,0.00393939393939394,0.0012121212121212121
A2_softmax,1,3,0.007272727272727269,0.01239834699725986
A2_softmax,1,5,0.002121212121212121,0.0022676711434993584
A2_softmax,1,10,0.0012121212121212121,0.0011338355717496792
A2_softmax,3,1,0.0012121212121212121,0.0006060606060606061
A2_softmax,3,3,0.004545454545454543,0.009090909090909085
A2_softmax,3,5,0.00030303030303030303,0.0006060606060606061
A2_softmax,3,10,0.0,0.0
A2_softmax,5,1,0.0015151515151515152,0.0009582659576267816
A2_softmax,5,3,0.004545454545454543,0.009090909090909085
A2_softmax,5,5,0.0,0.0
A2_softmax,5,10,0.0,0.0
A2_softmax,10,1,0.0012121212121212121,0.0006060606060606061
A2_softmax,10,3,0.0009090909090909091,0.0018181818181818182
A2_softmax,10,5,0.0,0.0
A2_softmax,10,10,0.0,0.0
A2_arcface,1,1,0.0006060606060606061,0.0012121212121212121
A2_arcface,1,3,0.0,0.0
A2_arcface,1,5,0.0,0.0
A2_arcface,1,10,0.0,0.0
A2_arcface,3,1,0.0009090909090909091,0.0012121212121212121
A2_arcface,3,3,0.0,0.0
A2_arcface,3,5,0.0,0.0
A2_arcface,3,10,0.0,0.0
A2_arcface,5,1,0.00030303030303030303,0.0006060606060606061
A2_arcface,5,3,0.0,0.0
A2_arcface,5,5,0.0,0.0
A2_arcface,5,10,0.0,0.0
A2_arcface,10,1,0.0006060606060606061,0.0012121212121212121
A2_arcface,10,3,0.0,0.0
A2_arcface,10,5,0.0,0.0
A2_arcface,10,10,0.0,0.0
A3_softmax,1,1,0.009090909090909085,0.010141333654958486
A3_softmax,1,3,0.0012121212121212121,0.001766955119650091
A3_softmax,1,5,0.0009090909090909091,0.0018181818181818182
A3_softmax,1,10,0.00030303030303030303,0.0006060606060606061
A3_softmax,3,1,0.01272727272727272,0.010435863853165184
A3_softmax,3,3,0.0006060606060606061,0.0007422696190252055
A3_softmax,3,5,0.00030303030303030303,0.0006060606060606061
A3_softmax,3,10,0.00030303030303030303,0.0006060606060606061
A3_softmax,5,1,0.00848484848484848,0.009221287305880562
A3_softmax,5,3,0.0,0.0
A3_softmax,5,5,0.00030303030303030303,0.0006060606060606061
A3_softmax,5,10,0.0,0.0
A3_softmax,10,1,0.008787878787878784,0.009601805768336273
A3_softmax,10,3,0.0009090909090909091,0.0007422696190252055
A3_softmax,10,5,0.00030303030303030303,0.0006060606060606061
A3_softmax,10,10,0.0,0.0
A3_arcface,1,1,0.006666666666666661,0.008164965809277254
A3_arcface,1,3,0.0,0.0
A3_arcface,1,5,0.0,0.0
A3_arcface,1,10,0.0,0.0
A3_arcface,3,1,0.006666666666666661,0.008164965809277254
A3_arcface,3,3,0.0,0.0
A3_arcface,3,5,0.0,0.0
A3_arcface,3,10,0.0,0.0
A3_arcface,5,1,0.006666666666666661,0.008164965809277254
A3_arcface,5,3,0.00030303030303030303,0.0006060606060606061
A3_arcface,5,5,0.0,0.0
A3_arcface,5,10,0.0,0.0
A3_arcface,10,1,0.006666666666666661,0.008164965809277254
A3_arcface,10,3,0.0,0.0
A3_arcface,10,5,0.0,0.0
A3_arcface,10,10,0.0,0.0
A4_softmax,1,1,0.024242424242424225,0.004494665749754947
A4_softmax,1,3,0.015757575757575748,0.01202995954016921
A4_softmax,1,5,0.023030303030303022,0.021564178029887502
A4_softmax,1,10,0.01151515151515151,0.014135640957200723
A4_softmax,3,1,0.02060606060606059,0.0046552398471930954
A4_softmax,3,3,0.0212121212121212,0.012159031907720528
A4_softmax,3,5,0.017575757575757568,0.022950419671226036
A4_softmax,3,10,0.010909090909090905,0.021818181818181813
A4_softmax,5,1,0.019999999999999983,0.003997244229779674
A4_softmax,5,3,0.013333333333333327,0.011026306302218328
A4_softmax,5,5,0.011212121212121206,0.013229624213904887
A4_softmax,5,10,0.005757575757575755,0.01151515151515151
A4_softmax,10,1,0.020303030303030288,0.0048484848484848485
A4_softmax,10,3,0.020606060606060593,0.018694784018408694
A4_softmax,10,5,0.0106060606060606,0.012159031907720528
A4_softmax,10,10,0.006666666666666664,0.013333333333333327
A4_arcface,1,1,0.01727272727272726,0.0007422696190252052
A4_arcface,1,3,0.005757575757575755,0.008645662192537635
A4_arcface,1,5,0.006666666666666664,0.009659016636672253
A4_arcface,1,10,0.0006060606060606061,0.0012121212121212121
A4_arcface,3,1,0.01727272727272726,0.0007422696190252052
